32.534961 [INFO ] PPSGEN count=27 interval_ns=999972512 dev_ns=-27488 phase_ns=1629429 hwphase_ns=419056 trim_ppb=0 cfg=1 p_ns=26191 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
33.534976 [INFO ] PPSGEN count=28 interval_ns=999974528 dev_ns=-25472 phase_ns=1647429 hwphase_ns=391024 trim_ppb=0 cfg=1 p_ns=24439 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
34.534960 [INFO ] PPSGEN count=29 interval_ns=999976400 dev_ns=-23600 phase_ns=1634428 hwphase_ns=364832 trim_ppb=0 cfg=1 p_ns=22802 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
35.534988 [INFO ] PPSGEN count=30 interval_ns=999978160 dev_ns=-21840 phase_ns=1630428 hwphase_ns=340432 trim_ppb=0 cfg=1 p_ns=21277 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
36.534955 [INFO ] PPSGEN count=31 interval_ns=999979792 dev_ns=-20208 phase_ns=1646428 hwphase_ns=317648 trim_ppb=0 cfg=1 p_ns=19853 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
37.535003 [INFO ] PPSGEN count=32 interval_ns=999981328 dev_ns=-18672 phase_ns=1652427 hwphase_ns=296384 trim_ppb=0 cfg=1 p_ns=18524 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
38.535019 [INFO ] PPSGEN count=33 interval_ns=999982736 dev_ns=-17264 phase_ns=1729427 hwphase_ns=276544 trim_ppb=0 cfg=1 p_ns=17284 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
39.535017 [INFO ] PPSGEN count=34 interval_ns=999984080 dev_ns=-15920 phase_ns=1621427 hwphase_ns=258064 trim_ppb=0 cfg=1 p_ns=16129 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
40.535013 [INFO ] PPSGEN count=35 interval_ns=999985312 dev_ns=-14688 phase_ns=1566858 hwphase_ns=240800 trim_ppb=0 cfg=1 p_ns=15050 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
41.535075 [INFO ] PPSGEN count=36 interval_ns=999986464 dev_ns=-13536 phase_ns=1746426 hwphase_ns=224672 trim_ppb=0 cfg=1 p_ns=14042 d_ns=0 (pico_gnss pico-gnss-rs/src/main.rs:358)
